Misc Interventions,,,,,,,,
109+Death Rattle and Oral Secretions,2nd ed+Katherine Bickel and Robert Arnold MD,,,,,,,
,,,,,,,,
110+Urine Drug Testing for Opioids and Marijuana+Marissa Mapa and Robert Arnold,,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
111+Cardiac Pacemakers at End-of-Life+Harrington MD,Luebke DL,Lewis WR,Aulisio MP,Johnson NJ,,,,
Misc Interventions,,,,,,,,
112+Implantable Cardioverter-Defibrillators at End-of-Life+Harrington MD,Luebke DL,Lewis WR,Aulisio MP,Johnson NJ,,,,
Misc Interventions,,,,,,,,
113+Bisphosponates for Bone Pain+Elizabeth Weinstein and Robert Arnold MD,,,,,,,,
Pain (all),,,,,,,,
114+Myoclonus+Nicholas DeMonaco and Robert Arnold MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
115+Declaring Brain Death: The Neurologic Criteria+Amal Puswella,Mike DeVita,Robert M Arnold MD,,,,,,
Misc Syndromes+Palliative Care Practice,,,,,,,,
116+Radiopharmaceuticals for Painful Osseous Metastases+Gary M Reisfield MD and George R Wilson MD,,,,,,,,
Pain (all),,,,,,,,
117+Pediatric Pain Assessment Scales+Gena Walker and Robert Arnold MD,,,,,,,,
Pain (all),,,,,,,,
118+Near Death Awareness+Lucille Marchand MD,BSN,,,,,,,
Culture/Spiritual/Grief,,,,,,,,
119+Invasive Treatment Options for Malignant Bowel Obstruction+Robert S Krouse MD,,,,,,,,
Misc Syndromes,,,,,,,,
120+Physicians and Prayer Requests+Kate Kwiatkowski,Robert Arnold MD,David Barnard PhD,,,,,,
Palliative Care Practice,,,,,,,,
121+Oral Mucositis: Diagnosis and Assessment+Clarissa F Henson and Robert Arnold MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
122+Palliative Care and ICU Care: Pre-Admission Assessment+Richard A Mularski MD and Molly L Osborne MD,,,,,,,,
Palliative Care Practice,,,,,,,,
123+Palliative Care and ICU Care: Daily ICU Care Plan Checklist+Richard A Mularski MD and Molly L Osborne MD,,,,,,,,
Palliative Care Practice,,,,,,,,
124+The Palliative Prognostic Score+L Scott Wilner MD and Robert Arnold MD,,,,,,,,
Prognosis,,,,,,,,
125+The Palliative Performance Scale (PPS)+L Scott Wilner MD and Robert Arnold MD,,,,,,,,
Prognosis,,,,,,,,
126+Pain Assessment in the Cognitively Impaired+L Scott Wilner MD and Robert Arnold MD,,,,,,,,
Pain (all),,,,,,,,
127+Substance Use Disorders in the Palliative Care Patient,2nd ed+Gary M Reisfield MD,Gabriel D Paulian MD,and George R Wilson MD,,,,,
Special Conditions,,,,,,,,
128+The Speech Pathologist and Swallowing Studies+Carol Monteleoni MS,CCC-SLP,,,,,,,
Nutrition/Hydration,,,,,,,,
129+Steroids in the Treatment of Bone Pain+Elizabeth Weinstein and Robert Arnold MD,,,,,,,,
Pain (all),,,,,,,,
130+Oral Mucositis: Prevention and Treatment+Clarissa Febles Henson and Robert Arnold MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
131+The Physician as Family Member+Robert Arnold MD,,,,,,,,
Palliative Care Practice,,,,,,,,
132+Ketamine Use in Palliative Care+Eric Prommer MD,,,,,,,,
Pain (all),,,,,,,,
133+Non-Oral Hydration in Palliative Care+Robin Fainsinger MD,,,,,,,,
Nutrition/Hydration,Ethics,,,,,,,
134+Non-Oral Hydration Techniques in Palliative Care+Robin Fainsinger MD,,,,,,,,
Nutrition/Hydration,,,,,,,,
135+Neoplastic Meningitis+Fareeha Siddiqui MD,Lisa Marr MD,and David E Weissman MD,,,,,,
Misc Syndromes+Special Conditions,,,,,,,,
136+Medical Futility+Joy E Cuezze MD and Christian T Sinclair MD,,,,,,,,
Ethics,,,,,,,,
137+Carcinoid Syndrome: Symptom Management+Stacey Shaffer and Robert Arnold MD,,,,,,,,
Misc Syndromes,,,,,,,,
138+Grief in Children and Developmental Concepts of Death+Adam Himebauch,Robert Arnold MD,and Carol May,,,,,,
Culture/Spiritual/Grief,,,,,,,,
139+Hospice Referral: Moving from Hospital to Home+Tara C Friedman MD,,,,,,,,
Hospice,,,,,,,,
140+Medicare Hospice Benefit: Levels of Hospice Care+Tara C Friedman MD,,,,,,,,
Hospice,,,,,,,,
141+Prognosis in End-Stage COPD+Julie Wilson Childers MD,Robert Arnold MD,and J Randall Curtis MD,,,,,,
Prognosis,,,,,,,,
142+Opioid-Induced Hyperalgesia+Winifred G Teuteberg MD,,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
143+Prognostication in Heart Failure+Gary M Reisfield MD and George R Wilson MD,,,,,,,,
Prognosis,,,,,,,,
144+Palliative Care Issues in Heart Failure+Gary M Reisfield MD and George R Wilson MD,,,,,,,,
Special Conditions,,,,,,,,
145+Panic Disorder at the End-of-Life+VJ Periyakoil MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
146+Screening for Depression in Palliative Care+Robert Arnold MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
147+Oropharyngeal Candidasis+Drew A Rosielle MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
148+The Lidocaine Patch+Drew A Rosielle MD,,,,,,,,
Pain (all),,,,,,,,
149+Teaching the Family What To Expect When the Patient Is Dying+Charles F von Gunten MD,PhD,,,,,,,
Hospice,,,,,,,,
150+Prognostication in Dementia+Sing Tsai MD and Robert Arnold MD,,,,,,,,
Prognosis,,,,,,,,
151+Hypercalcemia of Malignancy+Fareeha Siddiqui MD and David E Weissman MD,,,,,,,,
Misc Syndromes,,,,,,,,
152+The Military History as a Vehicle for Exploring End-of-Life Care with Veterans+Lynn Hallarman MD and Clare Kearns MSW,,,,,,,,
Communication - Advanced,,,,,,,,
153+Health Literacy in Palliative Medicine+Gary M Reisfield MD and George R Wilson MD,,,,,,,,
Communication - Basic,,,,,,,,
154+Use of Interpreters in Palliative Care+Sue Howard MD,,,,,,,,
Communication - Basic+Palliative Care Practice,,,,,,,,
155+Completing a Death Certificate+Nikkisha Prentice and Robert Arnold MD,,,,,,,,
Palliative Care Practice,,,,,,,,
156+Evaluating Requests for Hastened Death+Tim Quill MD and Robert Arnold MD,,,,,,,,
Ethics,,,,,,,,
157+Malignant Pleural Effusions Interventional Management+Vincent Thai MD and Ron Damant MD,,,,,,,,
Misc Syndromes,,,,,,,,
158+Respiratory Secretion Management+Gary Hsin MD and James Hallenbeck MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
159+Responding to a Request for Hastening Death+Timothy Quill MD and Robert M Arnold MD,,,,,,,,
Communication - Advanced,,,,,,,,
160+Screening ICU Delirium+Richard Altman MD,Eric Milbrandt MD,MPH,and Robert Arnold MD,,,,,
Non-Pain Symptoms,,,,,,,,
161+Opioid Use in Renal Failure+Robert Arnold MD,Peg Verrico RPh,Sara N Davison MD,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
162+Advance Care Planning in Chronic Illness+Sara N Davison MD,,,,,,,,
Ethics,,,,,,,,
163+Decision Making in Chronic Kidney Disease+Sara N Davison MD,,,,,,,,
Ethics,,,,,,,,
164+Informed Consent in Palliative Care - Part I+David E Weissman MD and Arthur Derse MD,JD,,,,,,,
Ethics,,,,,,,,
165+Informed Consent in Palliative Care - Part II+David E Weissman MD and Arthur Derse MD,JD,,,,,,,
Ethics,,,,,,,,
166+Once Daily Oral Morphine Formulations+Drew A Rosielle MD,,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
167+Health Professional Burnout - Part I+Linda Blust MD,,,,,,,,
Clinician Self Care,,,,,,,,
168+Health Professional Burnout - Part II+Linda Blust MD,,,,,,,,
Clinician Self Care,,,,,,,,
169+Health Professional Burnout - Part III+Linda Blust MD,,,,,,,,
Clinician Self Care,,,,,,,,
170+Health Professional Burnout - Part IV+Linda Blust MD,,,,,,,,
Clinician Self Care,,,,,,,,
171+Methadone for Neuropathic Pain+David E Weissman MD,,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
172+Professional Patient Boundries in Palliative Care+Lise Taylor Barbour MD,,,,,,,,
Communication - Advanced+Palliative Care Practice,,,,,,,,
173+Cancer Related Fatigue+Gary M Reisfield MD and George R Wilson MD,,,,,,,,
Misc Syndromes,,,,,,,,
174+Dementia Medications in Palliative Care+Laura J Morrison MD and Solomon Liao MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
175+Opioid Allergic Reactions+Hunter E Woodall MD,Asriani Chiu MD,and David E Weissman MD,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
176+Evaluation of Malignant Ascites+Karen LeBlanc and Robert Arnold MD,,,,,,,,
Misc Syndromes,,,,,,,,
177+Palliative Treatment of Malignant Ascites+Karen LeBlanc and Robert Arnold MD,,,,,,,,
Misc Syndromes,,,,,,,,
178+The National Polst Paradigm Initiative,2nd Edition+Judy Citko,JD,Alvin H Moss MD,Margaret Carley RN,JD,and Susan Tolle MD,,
Ethics,,,,,,,,
179+CPR Survival in the Hospital Setting+David H Ramenofsky and David E Weissman MD,,,,,,,,
Prognosis,,,,,,,,
180+Parenteral Lidocaine for Neuropathic Pain+Jay Thomas MD,PhD,,,,,,,
Pain (all),,,,,,,,
181+Oral Oxymorphone+Drew A Rosielle MD,,,,,,,,
Pain (all),,,,,,,,
182+Xerstomia,2nd ed+Gary M Reisfield MD,Drew A Rosielle MD,and George R Wilson MD,,,,,
Non-Pain Symptoms,,,,,,,,
183+Conflict Resolution I: Careful Communication+Adam Kendall MD,MPH and Robert Arnold MD,,,,,,,
Communication - Advanced,,,,,,,,
184+Conflict Resolution II: Principled Negotiation+Adam Kendall MD,MPH and Robert Arnold MD,,,,,,,
Communication - Advanced,,,,,,,,
185+Topical Opioids for Pain+Juliet Jacobsen MD,DP,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
186+Anxiety in Palliative Care - Causes and Diagnosis+Joseph Stoklosa,Kevin Patterson MD,Drew Rosielle MD,and Robert Arnold MD,,,,,
Non-Pain Symptoms,,,,,,,,
187+Non-Tricyclic Antidepressants for Neuropathic Pain+Pippa Hawley B.Med,FRCPC,,,,,,,
Pain (all),,,,,,,,
188+Hepatic Encephalopathy in ESLD+Julie Wilson Childers MD and Robert Arnold MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
189+Prognosis in Decompensated Chronic Liver Failure+Brigid Dolan MD and Robert Arnold MD,,,,,,,,
Prognosis,,,,,,,,
190+Parenteral Nutrition in Advanced Cancer Patients+Mehrnoush Mirhosseini MD and Robin Fainsinger MD,,,,,,,,
Nutrition/Hydration,,,,,,,,
191+Prognostication in Patients Receiving Dialysis+Matthew Hudson,Steven Weisbord MD,Robert Arnold MD,,,,,,
Prognosis,,,,,,,,
192+Palliative Care for Adults with Developmental Disabilities+Neil M Ellison MD and Drew A Rosielle MD,,,,,,,,
Special Conditions,,,,,,,,
193+Decision Making for Adults with Developmental Disabilities Near the End-of-Life+Neil Ellison MD and Drew Rosielle MD,,,,,,,,
Special Conditions,,,,,,,,
194+Disclosing Medical Error+Ciaran Bradley MD and Karen Brasel MD,MPH,,,,,,,
Communication - Basic,,,,,,,,
195+Responding to a Colleague's Error+Ciaran Bradley MD and Karen Brasel MD,MPH,,,,,,,
Ethics+Palliative Care Practice,,,,,,,,
196+Bisphosphonates and Osteonecrosis of the Jaw+Rohtesh S Mehta MD and Marcin Chwistek MD,,,,,,,,
Misc Syndromes,,,,,,,,
197+Chemotherapy Associated Peripheral Neuropathy+Jagdeep K Mehr MD and Neil M Ellison MD,,,,,,,,
Pain (all),,,,,,,,
198+Regulatory Issues for Prescribing Schedule II Opioids at the End-of-Life+Neil M. Ellison MD,,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
199+Opioids for Cough+Sean Marks MD and Drew A Rosielle MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
200+Non-Opioid Anti-Tussives+Sean Marks MD and Drew A Rosielle MD,,,,,,,,
Non-Pain Symptoms,,,,,,,,
201+Palliative Care for Patients with Huntington's Disease+Sean Marks MD,Serena Hung MD,and Drew A Rosielle MD,,,,,,
Special Conditions,,,,,,,,
202+Vertebroplasty and Kyphoplasty for Vertebral Compression Fractures,2nd Edition+Marcin Chwistek MD and Rohtesh Mehta MD,,,,,,,
Misc Interventions,,,,,,,,
203+Managing One's Emotions as a Clinician+Donna Posluszny PhD and Robert Arnold MD,,,,,,,,
Clinician Self Care,,,,,,,,
204+African Americans and End-of Life Care+Mythili Raghavan,Alexander Smith MD,MS,and Robert Arnold MD,,,,,
Palliative Care Practice,,,,,,,,
205+Destination Ventricular Assist Devices for Heart Failure+Heather Ferris MD,PhD and Susan Hunt MD,,,,,,,
Misc Interventions,,,,,,,,
206+Genetic Screening and DNA Banking at the End-of-Life+John M Quillin PhD,Joann N Bodurtha MD,and Thomas J Smith MD,,,,,,
Misc Interventions+Palliative Care Practice,,,,,,,,
207+Withdrawl of Dialysis: Decision Making+Sara N Davison MD and Drew A Rosielle MD,,,,,,,,
Communication - Advanced,,,,,,,,
208+Clinical Care Following Withdrawal of Dialysis+Sara N Davison MD and Drew A Rosielle MD,,,,,,,,
Misc Interventions,,,,,,,,
209+Malignant Pericardial Effusions+Vincent Thai MD,,,,,,,,
Misc Syndromes,,,,,,,,
210+Suicidal Attempts in the Terminally Ill +Sean Marks MD and Drew Rosielle MD,,,,,,,,
Special Conditions,,,,,,,,
211+Guided Imagery for Anxiety+Karen Cooper LCSW,OSW-C and Susan Stollings PhD,,,,,,,
Non-Pain Symptoms,,,,,,,,
212+Phantom Limb Pain+Kavitha Ramchandran MD and Joshua Hauser MD,,,,,,,,
Pain (all),,,,,,,,
213+Prognosis in HIV and AIDS+Steven Oppenheim MD,,,,,,,,
Prognosis,,,,,,,,
